City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2023-03-14 15:44:12,-23.1203,-134.9692,79.02,74,15,11.99
1,Port Alfred,ZA,2023-03-14 15:44:12,-33.5906,26.891,73.18,87,28,1.01
2,Sakakah,SA,2023-03-14 15:44:13,29.9697,40.2064,83.77,19,0,11.16
3,Mataura,NZ,2023-03-14 15:44:13,-46.1927,168.8643,54.48,95,100,1.88
4,Mareeba,AU,2023-03-14 15:44:14,-17.0,145.4333,73.44,95,31,1.77
5,Cape Town,ZA,2023-03-14 15:43:45,-33.9258,18.4232,80.11,79,20,23.02
6,Kijang,KR,2023-03-14 15:44:15,35.2442,129.2139,42.53,65,0,8.63
7,Sept-Iles,CA,2023-03-14 15:44:15,50.2001,-66.3821,36.12,74,75,10.36
8,Husavik,IS,2023-03-14 15:44:16,66.0449,-17.3389,19.51,84,100,17.65
9,Rio De Janeiro,BR,2023-03-14 15:41:19,-22.9028,-43.2075,91.35,70,40,11.5
10,Kapaa,US,2023-03-14 15:44:17,22.0752,-159.319,75.18,85,75,5.99
11,Port Elizabeth,ZA,2023-03-14 15:44:17,-33.918,25.5701,73.69,92,75,12.66
12,Chokurdakh,RU,2023-03-14 15:44:18,70.6333,147.9167,-18.76,100,63,4.88
13,Chabua,IN,2023-03-14 15:44:18,27.4825,95.1736,75.22,30,14,3.47
14,Punta Arenas,CL,2023-03-14 15:44:19,-53.15,-70.9167,42.82,87,100,11.5
15,Tuktoyaktuk,CA,2023-03-14 15:44:20,69.4541,-133.0374,-29.2,68,20,8.05
16,Bluff,NZ,2023-03-14 15:44:20,-46.6,168.3333,54.81,73,98,12.46
17,Valdivia,CL,2023-03-14 15:40:49,-39.8142,-73.2459,60.89,49,86,6.67
18,Avarua,CK,2023-03-14 15:44:21,-21.2078,-159.775,71.65,100,0,1.14
19,Tasiilaq,GL,2023-03-14 15:44:22,65.6145,-37.6368,15.96,72,35,3.29
20,Butaritari,KI,2023-03-14 15:44:22,3.0707,172.7902,81.52,74,63,19.8
21,Faanui,PF,2023-03-14 15:44:22,-16.4833,-151.75,81.93,73,60,3.0
22,Inta,RU,2023-03-14 15:44:23,66.0317,60.1659,23.85,77,73,23.73
23,Ushuaia,AR,2023-03-14 15:44:23,-54.8,-68.3,40.62,93,100,12.66
24,Santa Rosa,PH,2023-03-14 15:41:04,14.3122,121.1114,79.11,76,73,6.71
25,Taksimo,RU,2023-03-14 15:44:24,56.3444,114.8794,3.58,87,100,4.56
26,Aljustrel,PT,2023-03-14 15:44:24,37.8776,-8.1652,64.27,50,29,10.18
27,Khipro,PK,2023-03-14 15:44:25,25.8285,69.3772,84.61,18,100,9.46
28,Sayyan,YE,2023-03-14 15:44:26,15.1718,44.3244,60.06,65,43,3.51
29,Springdale,US,2023-03-14 15:42:32,36.1867,-94.1288,38.55,63,0,9.22
30,Hilo,US,2023-03-14 15:40:31,19.7297,-155.09,72.25,87,75,3.44
31,Ilulissat,GL,2023-03-14 15:44:28,69.2167,-51.1,17.62,49,40,10.36
32,Vatava,RO,2023-03-14 15:44:29,46.9667,24.7667,49.44,51,100,3.31
33,Chino Hills,US,2023-03-14 15:44:29,33.9938,-117.7589,58.75,91,75,9.22
34,Mzimba,MW,2023-03-14 15:44:30,-11.9,33.6,64.15,95,95,2.57
35,Albany,US,2023-03-14 15:44:31,42.6001,-73.9662,34.54,92,100,4.0
36,Puerto Ayora,EC,2023-03-14 15:44:31,-0.7393,-90.3518,84.54,76,4,5.01
37,Tiksi,RU,2023-03-14 15:44:33,71.6872,128.8694,3.34,94,98,5.97
38,Kaitangata,NZ,2023-03-14 15:44:33,-46.2817,169.8464,53.98,90,93,4.5
39,Cidreira,BR,2023-03-14 15:44:34,-30.1811,-50.2056,80.28,73,91,15.82
40,Castro,BR,2023-03-14 15:44:34,-24.7911,-50.0119,69.33,91,100,5.08
41,Vaini,TO,2023-03-14 15:44:35,-21.2,-175.2,77.16,88,40,6.91
42,Port Hedland,AU,2023-03-14 15:44:35,-20.3167,118.5667,82.45,89,0,6.91
43,Luderitz,NA,2023-03-14 15:44:36,-26.6481,15.1594,71.87,60,0,22.01
44,Hat Yai,TH,2023-03-14 15:43:41,7.0084,100.4767,77.18,78,20,5.75
45,Dikson,RU,2023-03-14 15:44:36,73.5069,80.5464,19.35,80,100,24.2
46,New Norfolk,AU,2023-03-14 15:44:37,-42.7826,147.0587,58.91,69,35,2.91
47,Dunedin,NZ,2023-03-14 15:44:37,-45.8742,170.5036,57.79,80,100,5.01
48,Cap Malheureux,MU,2023-03-14 15:44:38,-19.9842,57.6142,79.47,67,39,7.0
49,Hermanus,ZA,2023-03-14 15:44:38,-34.4187,19.2345,76.8,79,28,17.83
50,Padang,ID,2023-03-14 15:44:38,-0.9492,100.3543,78.85,87,100,4.5
51,Auki,SB,2023-03-14 15:44:39,-8.7676,160.7034,77.5,88,100,4.07
52,Bethel,US,2023-03-14 15:44:39,41.3712,-73.414,36.01,87,100,11.5
53,Zyryanovsk,KZ,2023-03-14 15:44:40,49.7386,84.2719,10.8,94,85,2.57
54,Kyzyl-Suu,KG,2023-03-14 15:44:40,42.3414,78.0056,37.69,49,1,8.79
55,Khatanga,RU,2023-03-14 15:44:41,71.9667,102.5,1.11,83,100,11.27
56,Alekseyevsk,RU,2023-03-14 15:44:41,57.8406,108.3492,-5.51,100,24,2.46
57,Port Lincoln,AU,2023-03-14 15:44:41,-34.7333,135.8667,63.16,83,86,5.37
58,Vardo,NO,2023-03-14 15:44:42,70.3705,31.1107,30.18,69,40,10.36
59,Marsh Harbour,BS,2023-03-14 15:44:42,26.5412,-77.0636,73.67,75,99,11.61
60,Kodiak,US,2023-03-14 15:44:42,57.79,-152.4072,24.31,50,100,0.0
61,Harsin,IR,2023-03-14 15:44:43,34.2721,47.5861,56.21,69,50,0.47
62,Atuona,PF,2023-03-14 15:40:06,-9.8,-139.0333,79.61,79,95,9.66
63,Caravelas,BR,2023-03-14 15:44:43,-17.7125,-39.2481,84.65,59,59,8.7
64,Evora,PT,2023-03-14 15:44:43,38.5667,-7.9,63.36,51,44,9.22
